% Model,Simultaneous Measurement of Seawater-v0.mph
% Version,COMSOL 6.3.0.290
% Date,"Feb 18 2026, 00:30"
% Table,Sweet Table - Sweet-Evaluation
% lambda (m),lambda0 (µm),Total transmittance (1)
6.550000000000001E-7,0.655,0.9732789861096307
6.555000000000001E-7,0.6555000000000001,0.9726771924179347
6.56E-7,0.656,0.972069083070234
6.565000000000001E-7,0.6565000000000001,0.9714547518427641
6.570000000000001E-7,0.6570000000000001,0.9708342864718194
6.575000000000001E-7,0.6575000000000001,0.9702077678838155
6.580000000000001E-7,0.6580000000000001,0.9695752693242937
6.585000000000001E-7,0.6585000000000001,0.968936855369758
6.590000000000001E-7,0.659,0.9682925808040262
6.595000000000001E-7,0.6595000000000001,0.9676424893309745
6.6E-7,0.66,0.9669866120990769
6.605000000000001E-7,0.6605000000000001,0.9663249660003417
6.610000000000001E-7,0.6610000000000001,0.9656575517023525
6.615E-7,0.6615000000000001,0.9649843513628239
6.620000000000001E-7,0.662,0.9643053259632302
6.625000000000001E-7,0.6625000000000001,0.9636204121842076
6.63E-7,0.663,0.962929518729044
6.635000000000001E-7,0.6635000000000001,0.9622325219762524
6.640000000000001E-7,0.6640000000000001,0.9615292608144903
6.645000000000001E-7,0.6645000000000001,0.9608195304736323
6.650000000000001E-7,0.6650000000000001,0.9601030751199071
6.655000000000001E-7,0.6655000000000001,0.9593795789142945
6.660000000000001E-7,0.666,0.95864865515301
6.665000000000001E-7,0.6665000000000001,0.9579098329951529
6.670000000000001E-7,0.6670000000000001,0.9571625411316289
6.675000000000001E-7,0.6675000000000001,0.9564060875465564
6.680000000000001E-7,0.6680000000000001,0.9556396342430745
6.685E-7,0.6685,0.9548621654213492
6.690000000000001E-7,0.669,0.954072447053377
6.695000000000001E-7,0.6695000000000001,0.9532689750374528
6.7E-7,0.67,0.9524499080098188
6.705000000000001E-7,0.6705000000000001,0.9516129792836582
6.710000000000001E-7,0.6710000000000002,0.9507553799985297
6.715E-7,0.6715000000000001,0.9498736019518265
6.720000000000001E-7,0.672,0.9489632230267853
6.725000000000001E-7,0.6725000000000001,0.9480186093738118
6.730000000000001E-7,0.673,0.9470324943917005
6.735000000000001E-7,0.6735000000000001,0.9459953711949423
6.740000000000001E-7,0.6740000000000002,0.9448945954543146
6.745000000000001E-7,0.6745000000000001,0.9437130253721502
6.750000000000001E-7,0.6750000000000002,0.9424268973556847
6.755E-7,0.6755,0.9410023912311897
6.760000000000001E-7,0.676,0.9393898476252224
6.765000000000001E-7,0.6765000000000001,0.9375135514707269
6.77E-7,0.677,0.9352526160399196
6.775000000000001E-7,0.6775000000000001,0.9324033707609893
6.780000000000001E-7,0.6780000000000002,0.92859556089019
6.785E-7,0.6785,0.9230890496463026
6.790000000000001E-7,0.679,0.9141994875526965
6.795000000000001E-7,0.6795000000000001,0.8972834488200289
6.800000000000001E-7,0.68,0.854947767809896
6.805000000000001E-7,0.6805000000000001,0.6738038195548606
6.810000000000001E-7,0.6810000000000002,0.09793120512983526
6.815000000000001E-7,0.6815000000000001,0.8447163695430797
6.820000000000001E-7,0.682,0.921955609757261
6.825E-7,0.6825,0.936049774953632
6.830000000000001E-7,0.683,0.9393187693234212
6.835000000000001E-7,0.6835000000000001,0.939505721484717
6.84E-7,0.684,0.9384316868130773
6.845000000000001E-7,0.6845000000000001,0.9365738519496781
6.850000000000001E-7,0.6850000000000002,0.9339435350034752
6.855E-7,0.6855,0.9302573516530872
6.860000000000001E-7,0.686,0.9248584201562471
6.865000000000001E-7,0.6865000000000001,0.9163778762693656
6.87E-7,0.687,0.90179856644814
6.875000000000001E-7,0.6875000000000001,0.8736752327258496
6.880000000000001E-7,0.6880000000000002,0.8105731438898499
6.885000000000001E-7,0.6885000000000001,0.6402162067153797
6.890000000000001E-7,0.6890000000000001,0.18879549635117768
6.895000000000001E-7,0.6895000000000001,0.11643959149139223
6.900000000000001E-7,0.6900000000000001,0.5421042008598567
6.905000000000001E-7,0.6905000000000001,0.7309517046564522
6.91E-7,0.6910000000000001,0.8089152845097692
6.915000000000001E-7,0.6915000000000001,0.846723069038184
6.920000000000001E-7,0.6920000000000001,0.8675992259129814
6.925E-7,0.6925,0.8802363848684173
6.930000000000001E-7,0.6930000000000001,0.8884005628988791
6.935000000000001E-7,0.6935000000000001,0.8939261179077881
6.94E-7,0.6940000000000001,0.897791941841224
6.945000000000001E-7,0.6945000000000001,0.9005594302625095
6.950000000000001E-7,0.6950000000000002,0.9025697373308262
6.955000000000001E-7,0.6955,0.9040402427723764
6.960000000000001E-7,0.6960000000000001,0.9051150313228952
6.965000000000001E-7,0.6965000000000001,0.9058928393235369
6.970000000000001E-7,0.6970000000000001,0.906443280586056
6.975000000000001E-7,0.6975000000000001,0.9068166580851902
6.980000000000001E-7,0.6980000000000002,0.9070501090751787
6.985000000000001E-7,0.6985000000000001,0.9071715734731045
6.990000000000001E-7,0.6990000000000001,0.9072024264874293
6.995E-7,0.6995,0.9071592672627006
7.000000000000001E-7,0.7000000000000001,0.9070551602381985
7.005000000000001E-7,0.7005000000000001,0.9069005132794131
7.01E-7,0.7010000000000001,0.9067037096525283
7.015000000000001E-7,0.7015000000000001,0.906471569999317
7.020000000000001E-7,0.7020000000000001,0.9062096948767845
7.025E-7,0.7025,0.9059227220609919
7.030000000000001E-7,0.7030000000000001,0.9056145221446404
7.035000000000001E-7,0.7035000000000001,0.9052883488679733
7.040000000000001E-7,0.7040000000000001,0.9049469558391139
7.045000000000001E-7,0.7045000000000001,0.9045926880124642
7.050000000000001E-7,0.7050000000000002,0.904227554015772
7.055000000000001E-7,0.7055,0.9038532838003138
7.060000000000001E-7,0.7060000000000001,0.9034713749452097
7.065000000000001E-7,0.7065000000000001,0.9030831301126941
7.070000000000001E-7,0.7070000000000001,0.9026896875496248
7.075000000000001E-7,0.7075000000000001,0.9022920460820689
7.08E-7,0.7080000000000001,0.9018910857182009
7.085000000000001E-7,0.7085000000000001,0.901487584726828
7.090000000000001E-7,0.7090000000000001,0.9010822338687201
7.095E-7,0.7095,0.9006756483151229
7.100000000000001E-7,0.7100000000000001,0.9002683776755234
7.105000000000001E-7,0.7105000000000001,0.8998609144745003
7.110000000000001E-7,0.7110000000000001,0.899453701345938
7.115000000000001E-7,0.7115000000000001,0.8990471371661225
7.120000000000001E-7,0.7120000000000001,0.8986415822993687
7.125000000000001E-7,0.7125,0.8982373631048527
7.130000000000001E-7,0.7130000000000001,0.8978347758191735
7.135E-7,0.7135,0.8974340899150526
7.140000000000001E-7,0.7140000000000001,0.8970355510139093
7.145000000000001E-7,0.7145000000000001,0.896639383422021
7.150000000000001E-7,0.7150000000000002,0.8962457923436052
7.155000000000001E-7,0.7155,0.8958549658182267
7.160000000000001E-7,0.7160000000000001,0.8954670764217191
7.165E-7,0.7165,0.895082282763034
7.170000000000001E-7,0.7170000000000001,0.8947007308061351
7.175000000000001E-7,0.7175000000000001,0.8943225550381699
7.18E-7,0.7180000000000001,0.8939478795063963
7.185000000000001E-7,0.7185000000000001,0.893576818739696
7.190000000000001E-7,0.7190000000000001,0.8932094785694442
7.195000000000001E-7,0.7195,0.8928459568627705
7.200000000000001E-7,0.7200000000000001,0.8924863441783492
7.205000000000001E-7,0.7205000000000001,0.8921307243546945
7.210000000000001E-7,0.7210000000000001,0.891779175038964
7.215000000000001E-7,0.7215000000000001,0.891431768162355
7.22E-7,0.7220000000000001,0.8910885703699953
7.225000000000001E-7,0.7225,0.8907496434080859
7.230000000000001E-7,0.7230000000000001,0.8904150444762121
7.235E-7,0.7235,0.8900848265449385
7.240000000000001E-7,0.7240000000000001,0.8897590386482049
7.245000000000001E-7,0.7245000000000001,0.8894377261380773
7.25E-7,0.7250000000000001,0.8891209309415732
